时间,TSP,噪声,气温,湿度,PM10
2026-09-22 08:00,0.42,65,29.0,68,0.15
2026-09-22 08:30,0.48,66,29.8,66,0.16
2026-09-22 09:00,0.55,67,30.5,64,0.16
2026-09-22 09:30,0.61,68,31.4,62,0.17
2026-09-22 10:00,0.66,69,32.2,60,0.17
2026-09-22 10:30,0.72,70,33.0,58,0.18
2026-09-22 11:00,0.78,71,33.9,56,0.18
2026-09-22 11:30,0.83,72,34.6,54,0.19
2026-09-22 12:00,0.86,71,35.2,52,0.19
2026-09-22 12:30,0.90,73,35.8,51,0.20
2026-09-22 13:00,0.88,74,36.2,49,0.20
2026-09-22 13:30,0.92,72,36.6,48,0.20
2026-09-22 14:00,0.95,73,36.9,47,0.21
2026-09-22 14:30,0.91,74,37.2,45,0.21
